,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
retail_min,-77,-86,-76,-85,-90,-83,-74,-81,-91,-87,-94,-96,-48,-94,-71,-83,-95,-88,-90,-70,-93,-96,-74,-88,-28,-92,-82
retail_mean,-16.93495935,-33.39566396,-31.08672087,-25.46612466,-27.12737127,-9.921409214,-12.08130081,-17.50406504,-33.18428184,-26.55826558,-40.08401084,-32.80216802,-13.66937669,-34.95121951,-34.59891599,-24.20325203,-15.66124661,-12.73170732,-47.86178862,-27.07317073,-30.05691057,-38.3495935,-12.71544715,-29.54471545,-8.319783198,-42.78319783,-19.6802168
retail_max,16,13,9,13,19,33,29,9,11,15,22,5,21,2,7,21,32,26,7,-4,20,7,20,14,10,10,13
retail_std,12.10595041,24.43609181,17.93402732,16.92097258,28.99458007,21.61292402,19.48549325,16.63690382,26.81430011,24.14168865,24.07161828,27.41839621,10.76349143,24.55010484,15.47973932,21.66070938,29.57937536,20.36512502,20.59086224,18.49712674,29.39773994,26.34294887,14.23240338,23.65512785,6.346000508,23.59887553,12.50867077
grocery_min,-82,-83,-59,-78,-91,-74,-52,-69,-87,-94,-92,-94,-41,-95,-41,-77,-91,-92,-78,-35,-92,-90,-58,-90,-12,-89,-61
grocery_mean,-1.181571816,-8.463414634,4.929539295,-5.598915989,1.27100271,-4.756097561,0.696476965,-2.533875339,-7.975609756,-3.826558266,-4.826558266,-14.63414634,-0.463414634,-13.76839237,-9.111111111,-5.292682927,-8.181571816,1.964480874,-21.7696477,-3.940379404,-9.409214092,-12.33604336,-2.848238482,-4.27173913,2.98102981,-14.30081301,-5.539295393
grocery_max,51,40,67,40,46,25,34,37,46,50,55,46,17,51,31,24,62,127,40,25,30,35,39,37,27,24,27
grocery_std,10.05147115,14.29023167,15.37024261,12.58064927,19.48294367,10.62109788,11.063503,10.32976946,19.39412789,18.96615869,12.56537374,20.73236409,5.144986271,19.63573685,9.412331824,10.02846764,15.03751719,19.91625488,18.85268953,10.27068451,23.94410885,20.92264308,8.834445605,15.90331061,5.594922981,12.24784808,8.518381244
park_min,-52,-66,-75,-33,-62,-40,-40,-24,-82,-49,-69,-91,-56,-70,-60,-59,-81,-50,-66,-73,-71,-90,-30,-51,-47,-54,-38
park_mean,-13.64769648,24.94850949,-30.49593496,51.33604336,24.25474255,96.45257453,50.85185185,84.76693767,20.03794038,47.78319783,10.00542005,6.387533875,-5.325203252,19.89244186,-35.93495935,58.47154472,-21.71815718,60.08943089,-29.78590786,-25.11924119,40.06504065,-5.368563686,82.02168022,28.9403794,-4.113821138,21.51219512,14.95121951
park_max,28,252,69,234,160,406,309,517,248,264,193,198,76,204,10,286,60,314,11,35,272,86,380,182,85,152,86
park_std,13.58244927,45.78978779,17.50696678,66.14868549,48.32192336,98.92272613,68.08165653,88.58587854,71.66864185,54.07208518,38.8111259,61.18933216,17.10805573,57.5352526,13.59722981,71.44258694,26.31643424,73.42891127,15.73803901,20.60696553,62.55080188,40.56450834,94.46081229,50.89099591,17.59520903,40.40406333,30.75751487
station_min,-77,-80,-69,-82,-73,-71,-61,-76,-88,-75,-86,-91,-69,-85,-72,-75,-89,-77,-90,-75,-82,-92,-70,-68,-36,-85,-67
station_mean,-39.32791328,-34.7696477,-26.37669377,-47.45257453,-22.53116531,-29.82655827,-17.23577236,-35.84281843,-33.46341463,-28.90514905,-45.82384824,-38.45257453,-26.71273713,-29.79403794,-38.51490515,-43.38753388,-36.74254743,-31.56368564,-55.19783198,-34.79132791,-30.58536585,-38.11653117,-29.96205962,-25.85907859,-13.78861789,-46.85907859,-32.39566396
station_max,14,9,26,6,14,12,22,4,14,10,4,11,2,15,7,10,18,7,1,-9,17,14,6,14,12,5,7
