country,retail_mean,grocery_mean,park_mean,station_mean,residentia_mean,workplace_mean
Australia,-16.93495935,-1.181571816,-13.64769648,-39.32791328,8.333333333,-17.59349593
Belgium,-33.39566396,-8.463414634,24.94850949,-34.7696477,11.73712737,-30.80216802
Brazil,-31.08672087,4.929539295,-30.49593496,-26.37669377,9.761517615,-12.65853659
Canada,-25.46612466,-5.598915989,51.33604336,-47.45257453,11.77506775,-32.63685637
Czech Republic,-27.12737127,1.27100271,24.25474255,-22.53116531,6.807588076,-21.25745257
Denmark,-9.921409214,-4.756097561,96.45257453,-29.82655827,6.509485095,-25.24119241
Estonia,-12.08130081,0.696476965,50.85185185,-17.23577236,4.853658537,-23.16260163
Finland,-17.50406504,-2.533875339,84.76693767,-35.84281843,5.850948509,-25.34146341
France,-33.18428184,-7.975609756,20.03794038,-33.46341463,10.42547425,-30.7696477
Germany,-26.55826558,-3.826558266,47.78319783,-28.90514905,7.563685637,-22.5799458
Ireland,-40.08401084,-4.826558266,10.00542005,-45.82384824,14.49593496,-37.11653117
Italy,-32.80216802,-14.63414634,6.387533875,-38.45257453,10.57723577,-30.67750678
Japan,-13.66937669,-0.463414634,-5.325203252,-26.71273713,7.308943089,-14.83468835
Luxembourg,-34.95121951,-13.76839237,19.89244186,-29.79403794,12.50953678,-33.91256831
Mexico,-34.59891599,-9.111111111,-35.93495935,-38.51490515,12.32520325,-25.45799458
Netherlands,-24.20325203,-5.292682927,58.47154472,-43.38753388,9.178861789,-26.80216802
New Zealand,-15.66124661,-8.181571816,-21.71815718,-36.74254743,7.596205962,-12.30081301
Norway,-12.73170732,1.964480874,60.08943089,-31.56368564,6.319783198,-26.23848238
Philippines,-47.86178862,-21.7696477,-29.78590786,-55.19783198,21.13821138,-37.18699187
Singapore,-27.07317073,-3.940379404,-25.11924119,-34.79132791,19.52303523,-25.75067751
Slovakia,-30.05691057,-9.409214092,40.06504065,-30.58536585,7.604336043,-25.15718157
Spain,-38.3495935,-12.33604336,-5.368563686,-38.11653117,10.39837398,-30.6097561
Sweden,-12.71544715,-2.848238482,82.02168022,-29.96205962,6.601626016,-24.08130081
Switzerland,-29.54471545,-4.27173913,28.9403794,-25.85907859,8.544715447,-23.94850949
Taiwan,-8.319783198,2.98102981,-4.113821138,-13.78861789,1.815718157,-2.165311653
United Kingdom,-42.78319783,-14.30081301,21.51219512,-46.85907859,13.81842818,-38.61788618
United States,-19.6802168,-5.539295393,14.95121951,-32.39566396,9.764227642,-29.70189702
