date,jp_covid,jp_retail,jp_grocery,jp_park,jp_station,jp_residential,jp_workplace,jp_transit,jp_driving,jp_walking
2020/7/1,125,-13,-2,-12,-21,6,-9,103.61,99.89,83.69
2020/7/2,194,-9,3,2,-19,5,-10,105.5,101.75,83.36
2020/7/3,249,-14,-4,-14,-21,7,-11,120.65,119.11,95.32
2020/7/4,268,-13,-1,-28,-27,7,-13,123.36,125.1,103.62
2020/7/5,195,-12,2,-7,-28,5,-11,105.63,101.65,77.41
2020/7/6,174,-20,-9,-31,-22,7,-11,101.31,97.98,73.36
2020/7/7,203,-12,-1,-18,-22,7,-12,102.84,99,76.93
2020/7/8,203,-12,-1,-12,-22,6,-12,101.77,98.47,77.58
2020/7/9,352,-14,-2,-20,-21,7,-11,104.82,102.46,79.01
2020/7/10,418,-13,0,-17,-22,7,-12,124.42,124.23,101.41
2020/7/11,374,-12,1,-22,-27,7,-15,126.65,129.81,105.91
2020/7/12,390,-11,2,-3,-27,5,-10,106.73,106.37,81.31
2020/7/13,246,-15,-5,-18,-20,6,-10,101.37,99.6,72.77
2020/7/14,326,-12,-2,-17,-22,7,-12,108.77,107.56,83.94
2020/7/15,438,-10,1,-9,-20,6,-11,111.25,110.05,88.83
2020/7/16,619,-9,3,0,-20,6,-11,113.8,112.67,87.1
2020/7/17,588,-14,-3,-15,-22,7,-12,128.86,129.52,101.76
2020/7/18,654,-13,0,-15,-26,6,-11,128.41,133.58,106.02
2020/7/19,501,-13,0,6,-28,5,-10,111.78,112.11,86.13
2020/7/20,405,-11,1,-4,-20,5,-9,110.08,109.32,84.05
2020/7/21,618,-7,3,0,-19,6,-10,113.71,113.97,84.85
2020/7/22,792,-4,4,-1,-16,4,-9,136.85,145.97,97.04
2020/7/23,966,6,3,9,-39,18,-58,140.42,152.1,107.36
2020/7/24,766,-2,1,26,-42,21,-61,134.03,144.49,98.39
2020/7/25,796,-16,-3,-19,-28,8,-20,124.51,131.18,92.5
2020/7/26,834,-18,-4,-21,-29,6,-12,109.28,109.45,80.93
2020/7/27,583,-13,-1,-14,-20,6,-11,106.7,106.01,79.29
2020/7/28,971,-10,0,-8,-21,7,-12,106.81,105.9,80.71
2020/7/29,1245,-12,1,-3,-22,6,-12,107.69,106.59,84.07
2020/7/30,1305,-11,2,-2,-22,6,-12,109.48,107.72,84.83
2020/7/31,1575,-14,1,-5,-23,7,-12,131.55,134.42,104.73
2020/8/1,1537,-15,3,3,-26,5,-9,132.73,139.32,105.03
2020/8/2,1325,-15,2,9,-29,5,-10,118.78,118.86,91.58
2020/8/3,941,-12,0,3,-22,6,-12,118.03,117.35,90.32
2020/8/4,1240,-8,5,8,-22,6,-13,118.97,119.84,90.09
2020/8/5,1344,-9,3,6,-23,6,-14,121.87,123.31,91.96
2020/8/6,1479,-9,3,4,-23,6,-14,127.99,129.87,94.74
2020/8/7,1597,-11,1,1,-24,7,-15,143.52,151.78,106.42
2020/8/8,1521,-14,2,0,-25,5,-12,150.95,167.98,108.62
2020/8/9,1485,-12,1,10,-23,4,-11,143.98,160.2,101.8
