date,japan,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2020/2/15,4,5,2,3,4,5,3,3,4,2,2,4,3,5,6,1,3,3,3,0,3,4,6,3,2,3,2,3,3,8,4,6,6,4,3,3,4,3,3,3,4,2,2,4,2,0,1,1
2020/2/16,-6,-3,-3,-2,-4,0,0,-2,-4,-3,0,-6,-8,-9,-11,0,0,0,-1,-3,-1,-6,-8,-6,-5,-7,-9,-11,-9,-5,-8,5,1,-3,-3,-3,-1,-4,-3,-4,-3,-1,-3,-7,0,-1,-1,-2
2020/2/17,1,-4,-1,1,1,-1,0,0,-1,-2,-1,0,1,3,1,-2,3,2,1,-2,1,4,0,1,2,4,2,2,1,4,2,0,-1,-1,3,1,0,-2,0,1,-1,-1,-1,1,1,0,0,1
2020/2/18,2,2,-1,0,0,-1,-2,1,2,2,2,4,3,3,5,-1,0,-1,-1,2,1,-1,3,-1,2,-2,0,1,3,4,3,-6,-3,2,2,0,2,2,0,2,-3,-2,-2,0,-2,1,2,1
2020/2/19,2,-3,5,5,5,4,5,3,2,2,2,4,3,2,2,4,4,5,5,2,2,3,1,1,0,3,2,1,1,5,0,3,4,0,0,1,-1,0,0,-1,1,1,1,1,0,0,1,-1
2020/2/20,4,11,5,5,5,7,8,4,4,3,4,3,3,2,6,5,4,5,4,6,4,4,6,4,5,4,2,2,4,5,2,2,3,4,4,4,5,4,3,4,3,4,3,2,3,2,3,1
2020/2/21,2,3,-1,-1,1,-1,-2,1,3,0,2,3,2,2,1,3,4,4,5,-2,2,3,2,2,1,2,2,2,1,5,2,4,2,1,1,2,-2,-2,0,0,2,1,2,3,1,1,1,-1
2020/2/22,1,5,2,3,4,4,4,3,3,4,5,3,1,0,0,3,4,5,3,4,5,0,1,-1,0,-3,-6,-7,-4,0,-1,4,3,1,2,4,2,-1,1,1,3,4,4,8,4,3,4,0
2020/2/23,3,-9,-2,0,0,-2,-1,1,7,6,6,3,7,3,5,0,4,7,5,12,9,6,10,2,8,5,6,3,5,10,7,10,5,4,7,10,3,3,5,5,6,9,6,7,8,5,6,2
2020/2/24,4,3,3,4,6,1,8,4,5,3,5,7,6,-1,3,10,9,10,13,8,6,9,3,2,4,7,4,0,5,14,7,7,2,4,4,5,4,4,5,5,3,6,3,3,4,2,4,-1
2020/2/25,7,12,6,6,5,8,7,5,5,6,6,8,7,5,9,5,3,6,5,6,5,6,8,5,7,7,4,4,5,9,7,9,8,5,5,5,5,7,5,6,3,3,3,6,6,5,9,2
2020/2/26,3,6,7,7,6,7,7,6,3,5,4,4,3,1,0,6,5,7,7,2,5,5,2,4,4,4,2,1,2,6,-1,5,7,2,3,4,3,2,3,2,4,4,4,7,2,4,4,0
2020/2/27,6,8,5,5,6,6,6,6,6,7,7,8,7,5,8,6,5,8,7,5,5,8,5,6,5,5,2,3,5,6,3,4,6,4,9,8,5,4,5,4,6,8,6,21,6,7,7,1
2020/2/28,14,13,9,8,13,6,9,16,20,18,19,22,18,15,18,14,15,12,17,12,15,16,13,14,12,13,10,11,13,15,8,8,9,10,12,13,13,9,9,8,10,11,10,11,15,17,16,1
2020/2/29,9,5,14,15,17,14,15,11,12,12,12,14,10,11,13,12,15,14,15,10,11,16,12,9,8,10,3,-2,5,7,2,10,10,10,8,8,9,6,8,4,5,5,7,0,5,7,8,1
2020/3/1,9,-6,9,12,13,11,12,14,10,10,7,10,10,10,10,8,15,13,12,7,7,11,9,10,10,12,13,17,14,21,15,12,8,10,10,11,5,8,8,6,8,5,4,-1,4,0,3,-2
2020/3/2,3,0,1,4,1,3,2,1,0,-1,3,-1,-3,-5,-5,4,10,8,8,0,3,9,2,6,8,9,6,7,8,11,5,4,6,6,7,8,3,5,9,5,6,4,6,2,5,2,5,-2
2020/3/3,9,4,7,7,8,7,7,8,7,7,7,12,9,10,13,10,9,8,9,6,7,9,8,8,10,9,8,9,10,13,9,9,7,8,8,6,7,8,6,6,5,4,5,2,6,4,7,1
2020/3/4,-2,-1,7,3,3,5,2,0,-2,0,0,1,-4,-4,-3,5,3,3,5,1,2,1,-3,-2,-2,-2,-7,-11,-6,-3,-7,3,2,-3,-1,2,-5,-2,-1,-4,2,2,1,-2,1,1,1,-4
2020/3/5,3,-12,1,1,2,-2,0,1,2,2,2,3,3,2,7,-1,4,2,3,2,1,4,4,3,3,2,2,5,6,6,5,5,7,3,4,3,3,4,4,2,3,3,3,1,3,4,4,-3
2020/3/6,2,-5,-3,-2,-1,-3,-3,-1,2,0,0,5,4,4,4,2,5,2,5,-2,1,4,3,2,2,4,4,3,4,6,0,5,4,1,2,1,-2,0,0,-1,1,0,1,-1,0,2,0,-3
2020/3/7,2,0,2,4,4,4,3,2,2,2,1,4,1,2,3,2,5,5,6,1,2,7,5,4,5,5,3,2,3,9,2,3,2,1,1,-1,1,1,1,-4,-4,-4,-4,-2,-2,-2,-1,-7
2020/3/8,-4,-5,1,2,-3,3,3,-1,-1,-2,0,-4,-6,-9,-13,2,4,4,4,-4,0,-3,-13,-10,-6,-3,-4,-5,-1,1,-2,4,3,2,5,3,-2,1,1,-2,4,4,5,1,3,2,3,-2
2020/3/9,2,-4,-3,0,1,-1,0,1,1,1,1,4,2,4,4,0,3,2,3,-2,-1,4,2,2,5,4,3,4,3,6,2,1,2,-1,2,2,-1,-1,1,-1,0,-2,-1,-2,-1,-2,-3,-4
2020/3/10,-3,2,2,-3,-4,4,5,1,-2,-4,-2,-4,-5,-10,-8,2,2,1,2,-2,0,-3,-5,-5,-1,-2,-5,-7,-2,-2,0,3,0,3,1,-1,2,3,2,0,-3,1,1,-1,3,5,5,0
2020/3/11,4,-6,5,6,8,2,3,5,5,5,3,8,7,6,7,2,1,3,4,3,4,5,3,4,1,2,1,2,4,7,2,3,2,2,3,2,0,2,2,0,4,3,4,3,1,5,3,1
2020/3/12,5,3,5,6,6,6,6,5,5,6,6,6,5,4,8,6,7,9,6,5,4,6,5,5,7,7,7,5,6,8,4,6,5,4,6,5,3,3,3,1,5,5,5,3,3,5,4,-2
2020/3/13,3,-2,-2,-1,3,-3,-2,3,4,3,2,7,6,5,5,3,5,3,4,0,2,4,3,3,3,4,4,3,4,7,3,3,4,2,3,3,0,1,0,1,1,2,2,0,1,3,0,-5
