date,japan,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2020/2/15,7,-1,10,12,19,38,9,23,15,2,11,11,9,9,11,14,16,15,26,5,6,-2,16,8,-10,13,-2,2,2,-15,-4,21,12,12,-5,10,0,6,-3,10,7,-9,-11,0,-6,-16,-18,9
2020/2/16,-35,-14,-19,-27,-35,-10,-26,-33,-36,-39,-22,-36,-41,-37,-43,-16,-30,-33,-35,-33,-31,-44,-45,-42,-44,-41,-27,-42,-48,-41,-36,-18,-27,-35,-43,-25,-17,-29,-37,-16,-30,-30,-35,-24,-27,-27,-37,-15
2020/2/17,-5,-13,1,-7,1,1,0,-4,-14,-11,2,-14,-1,-2,5,-7,-4,-5,-1,4,3,-2,9,1,-11,-5,0,-8,-5,-14,-2,-8,-16,-6,-6,-9,-8,6,-18,2,-19,-15,-22,-20,-13,0,-15,-9
2020/2/18,1,-9,-1,-10,-6,-8,-4,-6,3,1,4,4,9,3,10,-2,-18,-8,-2,1,-5,-11,13,0,-12,-8,-5,-6,3,-11,2,-16,-13,12,3,2,8,6,4,9,-3,-5,-16,-5,-10,-6,-8,-6
2020/2/19,8,-7,10,6,15,5,13,17,19,10,9,14,17,8,15,10,12,20,18,9,5,1,14,6,0,9,12,13,8,9,15,18,8,10,7,11,8,16,6,5,20,18,5,10,3,11,5,10
2020/2/20,4,-7,3,3,11,8,10,7,-2,0,8,1,1,-1,6,0,7,3,18,0,0,0,14,5,-2,10,7,8,5,6,8,13,16,6,7,18,1,14,7,9,10,12,5,13,2,15,8,6
2020/2/21,7,-7,-2,-1,8,2,1,6,11,7,13,6,9,0,15,15,19,14,15,7,5,3,21,9,3,18,11,7,9,12,11,17,10,10,6,9,7,16,8,9,7,12,-1,13,6,-1,7,8
2020/2/22,-10,-13,2,0,16,-1,-2,5,-4,-1,13,2,-7,-7,-3,-5,-18,-16,-7,-8,-8,-33,-7,-23,-27,-23,-27,-29,-25,-32,-27,-6,-15,-16,-16,-3,-7,-4,-23,-3,-6,-1,-3,-14,-7,-2,-5,0
2020/2/23,16,-29,-21,-21,-27,-25,-27,-19,32,-1,-1,11,33,14,29,-21,-22,-7,-14,47,9,-4,48,-3,8,5,16,7,19,31,44,26,39,25,14,60,35,47,48,48,34,43,34,39,36,25,27,21
2020/2/24,54,-7,-5,5,23,15,14,26,76,58,64,63,69,31,69,17,75,75,91,87,54,67,76,53,57,110,61,56,64,75,72,93,83,72,46,87,61,104,84,72,71,88,42,58,53,66,54,30
2020/2/25,0,-13,0,5,0,3,11,-5,-6,-9,1,4,1,-5,1,-2,-11,-6,-2,-9,-8,-10,7,-1,-4,-4,-5,-4,3,-5,7,6,5,7,4,5,19,16,12,29,-6,-6,-12,-6,-1,0,-1,-8
2020/2/26,-5,-8,9,8,3,17,16,8,-4,-5,-6,-9,-13,-15,-13,9,3,7,16,-14,-7,-2,-10,5,-1,6,4,0,1,-1,0,7,1,5,7,7,1,11,2,14,9,11,4,0,-2,6,4,-6
2020/2/27,-4,-13,2,5,3,5,2,-1,-4,-3,0,-5,-2,-9,2,0,3,-4,10,-4,-10,-7,1,-1,-5,-5,-8,-9,-4,-6,1,1,6,0,4,9,-2,13,4,8,-3,-1,3,3,-7,7,9,-7
2020/2/28,-4,-21,-6,-4,0,-3,-7,-2,4,0,3,-1,3,-6,3,0,2,-7,3,-3,-6,-6,1,0,-4,-1,-2,-3,-2,-2,-2,3,2,2,-4,-8,-3,9,-5,4,-19,-12,-17,-12,-12,-11,-3,-6
2020/2/29,-22,-32,-8,0,-5,2,-6,-6,-9,-17,3,-1,-5,-8,-4,-9,8,-6,-3,-20,-15,-36,-24,-31,-43,-34,-37,-43,-37,-44,-42,-23,-28,-39,-44,-40,-43,-40,-48,-39,-50,-45,-40,-52,-48,-40,-31,-17
2020/3/1,-1,-45,-16,-11,-3,-20,-10,-6,24,0,7,23,24,12,11,-9,2,-3,-1,-5,-10,-8,-2,8,-3,1,-3,-3,-9,12,3,-1,6,-2,-11,4,-1,3,-17,-25,-14,-31,-27,-41,-32,-46,-41,-30
