date,japan,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2020/2/15,-1,-1,1,1,-2,5,1,-1,2,-2,-2,0,-3,-2,-1,3,-2,1,2,-1,-2,0,-1,0,-1,-3,-3,0,-2,-1,-6,-3,1,0,-1,1,-2,-3,-4,1,-1,-3,-2,2,0,-1,-3,1
2020/2/16,-9,-8,-9,-6,-8,-2,-5,-6,-8,-6,-4,-11,-12,-13,-13,-4,-6,-7,-7,-6,-5,-9,-10,-8,-8,-9,-11,-12,-11,-10,-15,-3,-5,-6,-6,-6,-3,-7,-7,-7,-6,-5,-6,-9,-3,-2,-6,-3
2020/2/17,-2,-9,0,0,-2,0,-1,-1,-3,-2,-1,-3,-3,-4,-2,0,1,-2,-2,-1,1,-1,1,-1,-4,-5,0,-1,-2,-5,-4,-6,-10,-1,-3,-6,-1,-3,-3,0,-7,-6,-9,-3,-4,-1,-4,-2
2020/2/18,1,-3,1,-2,-1,-2,-3,2,3,2,1,1,3,-2,1,-2,-5,-2,-5,1,2,1,5,0,0,-6,-5,-2,-2,-4,-2,-13,-6,1,0,-2,0,-1,-2,2,-3,-2,-2,0,-3,2,-5,0
2020/2/19,0,-3,2,4,6,2,6,3,1,2,1,-2,-1,-4,-2,3,6,3,3,0,2,3,0,1,-1,-2,-2,0,0,-1,-4,1,3,1,1,0,-1,0,1,0,1,1,2,1,0,1,1,-3
2020/2/20,1,0,6,4,3,6,5,3,2,3,2,0,0,-4,-2,3,4,4,4,2,3,5,3,3,4,5,1,1,2,2,-2,4,6,3,2,4,1,3,1,3,3,2,4,4,3,2,2,-2
2020/2/21,-1,-3,1,-1,-1,1,-1,-1,-2,-3,-2,-2,-2,-4,-3,3,2,1,2,-2,-1,0,0,0,-2,-1,-1,-2,-1,-1,-4,0,1,0,0,1,-3,-2,0,-1,-1,0,0,-1,0,-1,0,-4
2020/2/22,-5,-6,1,-1,-2,2,1,0,-1,-2,-1,-3,-6,-9,-7,0,-5,-3,-1,-1,-2,-4,-5,-5,-4,-8,-10,-10,-8,-7,-12,-2,-1,-2,-2,0,-2,-3,-2,-1,-2,0,-1,-1,1,-1,-1,-2
2020/2/23,1,-17,-2,0,0,-1,-3,-1,3,1,1,-4,0,-3,0,0,-3,-2,3,12,6,2,7,-2,2,2,5,1,3,1,2,7,6,4,8,3,5,6,5,7,1,5,7,2,9,6,8,2
2020/2/24,18,7,27,25,26,24,32,27,33,31,30,28,24,-5,15,34,32,26,31,28,30,27,28,17,19,28,22,13,23,24,18,26,18,26,18,21,27,30,26,24,17,28,18,19,21,24,23,8
2020/2/25,0,-4,6,4,0,6,4,0,1,-2,0,-1,-1,-6,-3,0,0,-4,-1,2,0,-1,4,-2,2,-1,-4,-2,-1,0,-3,0,1,0,-1,0,2,1,2,4,-2,0,0,-2,0,3,-4,-2
2020/2/26,-4,-5,4,3,3,6,5,2,-1,-3,-2,-6,-8,-11,-10,3,2,-2,2,-1,-3,0,-3,-2,0,-1,-4,-3,-2,0,-3,1,2,0,1,1,-3,0,2,0,-1,1,2,-1,0,1,-1,-6
2020/2/27,-3,-9,1,0,0,3,2,1,1,0,-1,-2,-4,-8,-6,2,1,-3,2,1,-3,-1,1,-2,-1,0,-3,-4,-2,-1,-3,0,3,-1,0,2,-4,0,2,1,-2,2,2,6,0,2,2,-5
2020/2/28,-2,-12,1,1,0,2,1,4,3,1,2,3,-1,-9,-3,3,1,-4,1,0,-1,-1,0,-2,1,0,-2,-3,0,2,-4,1,0,-2,-2,0,-5,-1,0,-2,-3,1,-1,-4,2,6,3,-6
2020/2/29,-10,-29,-2,-3,-8,2,-2,-4,-2,-8,-4,-3,-11,-13,-9,-3,-5,-7,-2,-4,-8,-8,-8,-9,-6,-8,-12,-16,-10,-6,-13,-5,-4,-8,-10,-6,-14,-11,-9,-12,-12,-10,-9,-15,-10,-6,-7,-8
2020/3/1,-10,-38,-8,-5,-10,-4,-5,-5,-5,-10,-7,-8,-12,-15,-12,-8,-7,-11,-5,-6,-9,-9,-7,-10,-6,-5,-8,-11,-6,-3,-7,-2,-2,-6,-5,-2,-12,-9,-6,-12,-8,-8,-8,-14,-7,-9,-10,-12
2020/3/2,-10,-18,-5,-4,-12,-3,-5,-6,-8,-7,-4,-12,-18,-21,-18,-3,-1,-5,-3,-7,-6,-7,-5,-7,-6,-7,-6,-6,-6,-5,-3,-1,-3,-2,-5,-3,-6,-3,-2,-5,-5,-2,-3,-7,-4,-1,0,-11
2020/3/3,-2,-16,0,-2,-3,2,1,0,1,-2,-2,0,-3,-8,-3,-3,1,-3,0,-2,-1,-3,0,-3,1,1,-4,-5,-3,0,-2,0,1,-1,0,0,-4,0,-3,-6,-2,0,-2,-3,-5,0,-4,-6
2020/3/4,-12,-17,2,-2,-6,-2,0,-4,-8,-7,-6,-11,-17,-20,-15,-4,-2,-7,-4,-7,-6,-11,-8,-13,-9,-10,-14,-18,-15,-13,-11,-3,-3,-9,-8,-8,-12,-9,-10,-14,-6,-2,-5,-8,-9,-3,-5,-11
2020/3/5,-9,-30,-5,-6,-6,-8,-6,-5,-2,-3,-5,-6,-10,-14,-8,-10,-2,-7,-4,-6,-6,-7,-2,-8,-5,-6,-8,-9,-6,-6,-5,-4,-2,-4,-5,-5,-7,-3,-7,-7,-5,-1,-3,-6,-8,-3,-2,-10
2020/3/6,-9,-23,-7,-6,-10,-7,-7,-7,-6,-9,-6,-7,-10,-14,-10,-7,-2,-7,-3,-7,-8,-7,-5,-11,-6,-8,-8,-11,-8,-5,-8,-3,-3,-5,-6,-8,-10,-6,-9,-12,-8,-3,-6,-11,-10,-9,-4,-8
2020/3/7,-12,-22,-6,-6,-10,-5,-4,-5,-5,-12,-8,-8,-14,-18,-14,-8,-6,-8,-4,-9,-10,-8,-8,-12,-7,-7,-11,-14,-11,-4,-10,-6,-7,-9,-14,-12,-12,-10,-14,-19,-15,-9,-14,-14,-16,-16,-9,-11
2020/3/8,-17,-23,-7,-6,-13,-5,-5,-10,-9,-14,-14,-16,-20,-26,-25,-8,-8,-11,-7,-20,-12,-15,-20,-23,-15,-13,-17,-21,-15,-15,-14,-5,-5,-10,-10,-8,-13,-11,-11,-14,-9,-3,-5,-10,-10,-11,-5,-9
2020/3/9,-7,-14,-2,-3,-6,-2,-2,-3,-3,-6,-5,-3,-10,-13,-8,-1,1,-3,-1,-9,-5,-5,0,-6,-5,-6,-5,-7,-6,-5,-3,-2,-3,-3,-7,-8,-5,-4,-6,-8,-9,-6,-8,-9,-10,-9,-6,-11
2020/3/10,-9,-17,1,-6,-10,-1,1,-4,-6,-9,-8,-10,-12,-20,-16,-6,-2,-7,-6,-10,-5,-9,-6,-12,-7,-10,-13,-16,-11,-10,-6,0,-3,-3,-5,-7,-4,-1,-3,-6,-7,1,-3,-5,-5,-1,-4,-3
2020/3/11,-3,-15,4,3,5,-2,4,3,2,1,-2,-1,-5,-9,-3,-3,2,-3,1,-2,-1,-1,1,-4,-1,2,-5,-6,-5,-2,-2,2,2,0,-1,-2,-1,0,-1,-4,0,4,1,-1,-3,-2,1,-3
2020/3/12,-3,-12,5,2,2,4,5,3,4,1,-1,-1,-4,-10,-4,2,7,2,9,-3,0,2,3,-3,0,6,1,-5,-3,0,-1,4,4,2,0,0,-1,1,-2,-3,0,5,0,-1,-3,-3,4,-5
2020/3/13,-5,-14,-2,-2,-4,-5,-2,0,-1,-3,-3,-1,-7,-10,-6,-2,2,-2,2,-7,-3,-2,-1,-7,-3,-2,-3,-8,-6,-1,-4,1,2,0,-2,-2,-5,-1,-4,-5,-3,2,-3,-5,-4,-5,-1,-5
2020/3/14,-14,-14,0,-1,-6,2,1,-8,-12,-14,-15,-17,-23,-29,-24,-4,-3,-3,1,-17,-13,-6,-12,-12,-8,-6,-13,-18,-13,-10,-8,-4,-1,-2,-5,-2,-7,-5,-7,-6,-5,-1,-4,-6,-6,-5,-1,-5
2020/3/15,-7,-17,-5,-4,-4,0,0,-4,1,-6,-8,-6,-7,-10,-7,-5,-6,-11,-6,-7,-4,-5,-1,-10,-6,-3,-8,-12,-8,-4,-6,-2,-3,-4,-7,-6,-6,-7,-7,-8,-7,-4,-5,-8,-6,-8,-6,-5
