date,japan,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2020/2/15,1,-2,-4,0,-3,7,-2,-1,-2,-4,-2,0,0,1,0,4,1,1,6,-5,-4,0,2,-4,-11,-3,-5,-3,-3,-7,-10,-1,1,-1,-4,3,1,1,-1,4,-3,-3,-7,3,-3,-6,-2,2
2020/2/16,-10,-5,-14,-10,-15,-5,-14,-11,-13,-10,-7,-10,-13,-9,-11,-6,-13,-6,-6,-13,-9,-13,-11,-12,-18,-9,-10,-10,-13,-17,-22,-11,-12,-8,-13,-7,-11,-17,-13,4,-7,-8,-13,-7,-12,-6,-13,-5
2020/2/17,-1,0,-5,1,1,3,-3,4,0,2,0,-2,-2,-1,-1,-1,5,4,6,2,1,2,6,-2,-3,2,-1,-1,-1,-2,0,1,-5,0,0,0,-2,-2,-4,5,-2,-3,-6,-2,-1,8,-1,4
2020/2/18,-2,-1,-2,0,-2,-9,-4,0,-1,1,0,-3,-3,-3,-1,-3,2,-1,0,1,-2,-2,3,-4,-3,-1,-3,-4,-3,-4,-6,-4,-2,-1,-2,-1,-2,-2,0,2,-5,-3,-3,-4,-5,2,0,-2
2020/2/19,-3,-3,2,1,-1,0,1,0,-1,-1,-4,-4,-3,-5,-4,1,2,1,4,5,-1,-2,2,-4,-4,0,-3,-3,-3,-2,-4,7,4,2,0,1,4,-1,1,2,-2,1,1,1,1,4,3,1
2020/2/20,-3,0,0,-1,-3,4,-2,0,-1,-1,0,-3,-3,-5,-4,-1,-2,0,4,2,1,-1,3,-4,-3,0,-2,-3,-1,-2,-4,5,6,0,0,4,6,1,5,6,-1,2,2,3,5,6,4,1
2020/2/21,-2,-2,-2,-1,-2,-1,-1,-2,-1,1,0,-3,-5,-5,-4,3,5,5,8,3,1,-1,4,-2,-2,2,-1,-2,1,1,-3,8,5,0,0,5,5,2,5,7,-2,0,3,2,5,3,3,1
2020/2/22,-3,-7,2,3,2,0,5,7,-2,2,5,-3,-5,-5,-5,9,-2,0,5,3,6,-4,2,-8,-8,-4,-10,-11,-7,-13,-16,3,3,2,-2,10,7,5,0,4,-5,2,-1,4,4,4,5,-1
2020/2/23,2,-14,-10,-2,-6,-10,-4,3,13,14,16,-3,-2,-5,1,2,-11,3,19,30,9,6,21,-5,4,11,3,-4,4,1,6,15,21,13,16,24,20,15,24,34,4,11,14,14,20,22,13,0
2020/2/24,-27,-28,-6,1,-19,2,2,7,-13,8,14,-32,-34,-40,-34,4,-2,5,24,33,13,0,6,-25,-6,-3,-18,-34,-22,-28,-4,16,13,2,-10,16,17,11,18,19,-20,5,-3,6,17,25,7,3
2020/2/25,-2,-3,1,3,0,-1,0,1,0,1,-2,-2,-4,-5,-2,-2,0,-4,2,-1,-2,-4,2,-4,-3,-3,-2,-3,-1,-2,-3,3,8,1,0,4,5,2,4,8,-2,0,2,-1,1,3,0,0
2020/2/26,-5,-8,1,-1,-3,3,0,-1,-4,-4,-6,-6,-7,-8,-6,-2,-3,-6,2,-6,-7,-6,-4,-6,-5,-3,-4,-5,-3,-1,-7,4,2,-2,-2,1,2,-2,2,3,-6,-2,-1,-5,-3,0,-2,-6
2020/2/27,-7,-11,-4,-7,-7,-1,-7,-5,-4,-6,-8,-7,-7,-10,-8,-5,-7,-9,-3,-4,-8,-7,-4,-9,-8,-5,-8,-7,-5,-5,-8,-2,2,-7,-4,-2,2,-3,-1,2,-8,-4,-3,-5,-4,-1,-4,-12
2020/2/28,-10,-18,-13,-15,-14,-17,-19,-16,-12,-13,-12,-10,-11,-12,-9,-13,-11,-19,-8,-12,-14,-15,-13,-13,-14,-11,-13,-9,-9,-5,-11,-12,-9,-13,-14,-11,-8,-11,-7,-7,-16,-13,-10,-15,-12,-12,-10,-16
2020/2/29,-21,-37,-18,-22,-27,-22,-26,-23,-25,-27,-20,-19,-21,-19,-20,-23,-21,-29,-22,-25,-25,-28,-29,-29,-33,-30,-30,-26,-25,-26,-31,-23,-20,-28,-31,-22,-24,-26,-24,-24,-33,-31,-26,-32,-28,-27,-22,-20
2020/3/1,-23,-44,-24,-25,-30,-26,-29,-23,-21,-22,-21,-25,-27,-25,-23,-29,-24,-30,-16,-22,-26,-24,-27,-29,-28,-22,-29,-28,-24,-20,-25,-22,-14,-21,-24,-16,-19,-30,-19,-22,-31,-30,-24,-33,-28,-31,-29,-30
2020/3/2,-15,-25,-20,-20,-21,-23,-29,-19,-20,-21,-18,-14,-19,-16,-15,-20,-17,-24,-11,-25,-21,-18,-19,-17,-20,-15,-16,-13,-12,-11,-14,-17,-13,-17,-18,-14,-15,-15,-15,-15,-22,-19,-12,-19,-16,-14,-14,-25
2020/3/3,-15,-28,-19,-20,-22,-27,-25,-15,-18,-16,-17,-15,-16,-16,-15,-22,-19,-26,-14,-16,-19,-19,-18,-21,-19,-17,-18,-16,-16,-13,-15,-20,-8,-16,-19,-12,-14,-14,-11,-12,-23,-19,-13,-16,-18,-15,-15,-26
2020/3/4,-19,-28,-15,-20,-22,-20,-23,-20,-22,-23,-20,-19,-21,-20,-19,-23,-18,-27,-16,-23,-22,-23,-21,-21,-25,-20,-21,-19,-20,-17,-21,-17,-12,-21,-20,-18,-23,-21,-19,-23,-24,-20,-17,-20,-21,-18,-17,-27
2020/3/5,-18,-31,-19,-21,-23,-26,-29,-21,-20,-20,-19,-17,-19,-18,-17,-27,-20,-29,-16,-19,-20,-21,-18,-22,-23,-18,-21,-18,-18,-15,-17,-20,-14,-19,-20,-15,-15,-16,-16,-15,-24,-19,-15,-17,-18,-16,-15,-29
2020/3/6,-18,-30,-23,-23,-25,-27,-28,-23,-20,-21,-17,-17,-19,-20,-17,-26,-18,-27,-15,-15,-21,-21,-20,-23,-23,-19,-21,-18,-18,-14,-17,-16,-14,-20,-21,-19,-17,-18,-16,-19,-24,-22,-17,-19,-19,-19,-18,-27
